AFRICA
(sub-Saharan),,ASIA
(excluding East Asia),,EAST ASIA
(ASEAN+),,EUROPE (excluding
Transition Countries),,MIDDLE EAST & NORTH
AFRICA+ (MENA+),,TRANSITION
COUNTRIES,,OTHER WESTERN
HEMISPHERE,,U.S. AND
CANADA,
CC,Country,CC,Country,CC,Country,CC,Country,CC,Country,CC,Country,CC,Country,CC,Country
,,AUS Australia,,BRN Brunei Darussalam*,,ABW Aruba,,AFG Afghanistan*,,ALB Albania,,AIA Anguilla,,,
,,BGD Bangladesh,,CHN China*,,AND Andorra,,ARE United Arab
Emirates,,ARM Armenia,,ARG Argentina,,,
,,BTN Bhutan,,HKG Hong Kong SAR*,,ANT Netherlands Antilles,,BHR Bahrain*,,AZE Azerbaijan,,ATG Antigua and
Barbuda,,,
,,FJI Fiji,,IDN Indonesia*,,AUT Austria,,DJI Djibouti*,,BGR Bulgaria,,BHS The Bahamas,,,
,,FSM Micronesia,,JPN Japan*,,BEL Belgium,,DZA Algeria*,,BIH Bosnia and
Herzegovina,,BLZ Belize,,,
,,IND India,,KHM Cambodia*,,BMU Bermuda,,EGY Egypt*,,BLR Belarus,,BOL Bolivia,,,
,,KIR Kiribati,,KOR Korea*,,CHE Switzerland,,IRN Iran*,,CZE Czech Republic,,BRA Brazil,,,
,,LKA Sri Lanka,,LAO Lao P.D.R.*,,COK Cook Islands,,IRQ Iraq*,,EST Estonia,,BRB Barbados,,,
,,MDV Maldives,,MAC Macao SAR*,,CUW Curacao,,JOR Jordan*,,GEO Georgia,,CHL Chile,,,
,,MHL Marshall Islands,,MMR Myanmar*,,CYM Cayman Islands,,KWT Kuwait*,,HRV Croatia,,COL Colombia,,,
,,NIU Niue,,MYS Malaysia*,,CYP Cyprus,,LBN Lebanon*,,HUN Hungary,,CRI Costa Rica,,,
,,NPL Nepal,,PHL Philippines*,,DEU Germany,,LBY Libya*,,KAZ Kazakhstan,,CUB Cuba,,,
,,NRU Nauru,,SGP Singapore*,,DNK Denmark,,MAR Morocco*,,KGZ Kyrgyz Republic,,DMA Dominica,,,
,,NZL New Zealand,,THA Thailand*,,ESP Spain,,MRT Mauritania*,,LTU Lithuania,,DOM Dominican Republic,,,
,,PLW Palau,,VNM Vietnam*,,FIN Finland,,OMN Oman*,,LVA Latvia,,ECU Ecuador,,,
,,PNG Papua New Guinea,,,,FRA France,,PAK Pakistan*,,MDA Moldova,,GRD Grenada,,,
,,SLB Solomon Islands,,,,FRO Faroe Islands,,QAT Qatar*,,MKD North Macedonia,,GTM Guatemala,,,
,,TLS Timor-Leste,,,,GBR United Kingdom,,SAU Saudi Arabia*,,MNG Mongolia,,GUY Guyana,,,
,,TON Tonga,,,,GIB Gibraltar,,SDN Sudan*,,MTN Montenegro,,HND Honduras,,,
,,TUV Tuvalu,,,,GRC Greece,,SOM Somalia*,,POL Poland,,HTI Haiti,,,
,,TWN Taiwan Province of
China,,,,IRL Ireland,,SYR Syria*,,ROM Romania,,JAM Jamaica,,,
,,VUT Vanuatu,,,,ISL Iceland,,TUN Tunisia*,,RUS Russia,,KNA St. Kitts and Nevis,,,
,,WSM Samoa,,,,ISR Israel,,WBG West Bank & Gaza*,,SRB Serbia,,LCA St. Lucia,,,
,,,,,,ITA Italy,,YMN Yemen*,,SVK Slovak Republic,,MEX Mexico,,,
,,,,,,LIE Liechtenstein,,YEM Yemen*,,SVN Slovenia,,MSR Montserrat,,,
,,,,,,LUX Luxembourg,,,,TJK Tajikistan,,NIC Nicaragua,,,
,,,,,,MCO Monaco,,,,TKM Turkmenistan,,PAN Panama,,,
,,,,,,MLT Malta,,,,UKR Ukraine,,PER Peru,,,
,,,,,,NLD The Netherlands,,,,UVK Kosovo,,PRY Paraguay,,,
,,,,,,NOR Norway,,,,,,SLV El Salvador,,,
