,TOTAL,,,,,,,,ECONOMISTS,,,,SPECIALIZED CAREER STREAM,,,,,
,Total,,A1–A9,,A9–A15,,B1–B5,,A9–A15,,B1–B5,,A1–A8,,A9–A15,,B1–B5,
,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent
,82,8.9,9,5.1,71,10.2,2,4.3,,,,,,,,,,
,126,13.7,25,14.2,97,13.9,4,8.5,,,,,,,,,,
,51,5.5,5,2.8,44,6.3,2,4.3,,,,,,,,,,
,56,6.1,9,5.1,44,6.3,3,6.4,,,,,,,,,,
,216,23.5,9,5.1,194,27.8,13,27.7,,,,,,,,,,
,110,11.9,30,17.0,76,10.9,4,8.5,,,,,,,,,,
,74,8.0,18,10.2,54,7.7,2,4.3,,,,,,,,,,
,206,22.4,71,40.3,118,16.9,17,36.2,,,,,,,,,,
TOTAL,921,100,176,100,698,100,47,100,454,100,28,100,176,100,244,100,19,100
,412,44.7,136,77.3,257,36.8,19,40.4,,,,,,,,,,
,509,55.3,40,22.7,441,63.2,28,59.6,,,,,,,,,,
