Αιτήματα Αδειών διαμονής (Αρχικές χορηγήσεις και ανανεώσεις Μάιος 2024 – Μάιος 2025)
ανά αποκεντρωμένη διοίκηση,,,,,,,,,,,,,,,,,
ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,,
ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ ΑΙΤΗΜΑΤΟΣ,,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΤΤΙΚΗΣ,,,5.643,,,3.771,,,4,,,31.449,,,40.867,
,Υ.Μ.Α.,,,1.728,,,276,,,,,,16.732,,,18.736,
,ΜΑΚΕΔΟΝΙΑΣ – ΘΡΑΚΗΣ,,,5.438,,,1017,,,12,,,8.070,,,14.537,
,ΠΕΛΟΠΟΝΝΗΣΟΥ,,,3.659,,,949,,,,,,8.896,,,13.504,,
,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ & ΙΟΝΙΟΥ,,,,,,,,,,,,,,,,
,ΚΡΗΤΗΣ,,,4.764,,,1135,,,5,,,3.353,,,9.257,
,ΘΕΣΣΑΛΙΑΣ – ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,,2.956,,,650,,,10,,,4.823,,,8.439,
,ΑΙΓΑΙΟΥ,,,2.931,,,1284,,,,,,3.541,,,7.756,
,ΗΠΕΙΡΟΥ – ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,,1.308,,,165,,,5,,,1072,,,2.550,
ΣΥΝΟΛΟ ΑΡΧΙΚΩΝ ΧΟΡΗΓΗΣΕΩΝ,,,28.427,,,9.247,,,36,,,77.936,,,115.646,,
ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ ΑΙΤΗΜΑΤΟΣ,,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,
,ΑΤΤΙΚΗΣ,,,10.396,,,39,,,,,,62.024,,,72.459,
,ΜΑΚΕΔΟΝΙΑΣ – ΘΡΑΚΗΣ,,,8.615,,,170,,,,,,19.024,,,27.809,
,ΠΕΛΟΠΟΝΝΗΣΟΥ,,,4.867,,,60,,,1,,,14.410,,,19.338,,
,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ & ΙΟΝΙΟΥ,,,,,,,,,,,,,,,,
,ΘΕΣΣΑΛΙΑΣ – ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,,6.160,,,91,,,2,,,7.887,,,14.140,
,ΑΙΓΑΙΟΥ,,,3.947,,,95,,,3,,,7.020,,,11.065,
,ΚΡΗΤΗΣ,,,7.904,,,72,,,2,,,2.971,,,10.949,
,ΗΠΕΙΡΟΥ – ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,,3.168,,,42,,,,,,1.771,,,4.981,
,Υ.Μ.Α.,,,883,,,9,,,,,,2.208,,,3.100,
,ΣΥΝΟΛΟ ΑΝΑΝΕΩΣΕΩΝ,,,45.940,,,578,,,8,,,117.315,,,163.841,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,7 4 . 3 6 7,,,9.825,,,44,,,195.251,,,279.487,,
,ΧΟΡΗΓΗΣΕΩΝ &,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
