,ΚΑΤΗΓΟΡΙΕΣ/ ΕΤΟΣ,,,Απασχόληση,Λοιπά,,Οικογενειακή Επανένωση,,Σπουδές,,,ΣΥΝΟΛΟ,
,31/5/2024,,,102.128,224.945,,150.454,,1.480,,,479.007,
,30/6/2024,,,104.842,224.385,,150.452,,1.505,,,481.184,
,31/7/2024,,,107.081,221.985,,149.456,,1.492,,,480.014,
,31/8/2024,,,110.119,221.009,,149.514,,1.514,,,482.156,
,30/9/2024,,,112.656,219.565,,149.329,,1.432,,,482.982,
,31/10/2024,,,114.534,217.813,,147.930,,1.402,,,481.679,
,30/11/2024,,,117.530,225.941,,150.779,,1.385,,,495.635,
,31/12/2024,,,119.517,224.605,,150.636,,1.349,,,496.107,
,31/1/2025,,,121.158,223.757,,149.738,,1.406,,,496.059,
,28/2/2025,,,119.833,224.502,,149.257,,1.470,,,495.062,
,31/3/2025,,,118.714,225.365,,149.123,,1.487,,,494.689,
,30/4/2025,,,117.091,227.058,,149.215,,1.607,,,494.971,
,31/5/2025,,,118.683,229.244,,151.484,,1.682,,,501.093,
