Κορυφαίες 10 εθνικότητες των πολιτών τρίτων χωρών με ισχύουσες άδειες διαμονής,,,,,,,,,,,,,,,,,
,,,ΕΘΝΙΚΟΤΗΤΑ,,,ΑΡΡΕΝ,,,ΘΗΛΥ,,,ΣΥΝΟΛΟ,,,ΠΟΣΟΣΤΟ,,
,1,,,ΑΛΒΑΝΙΑ,,,146.912,,,123.032,,,269.944,,,53,9%,
,2,,,ΚΙΝΑ,,,16.865,,,18.124,,,34.989,,,7,0%,
,3,,,ΠΑΚΙΣΤΑΝ,,,25.124,,,894,,,26.018,,,5,2%,
,4,,,ΓΕΩΡΓΙΑ,,,5.026,,,14.751,,,19.777,,,3,9%,
,5,,,ΜΠΑΝΓΚΛΑΝΤΕΣ,,,15.768,,,527,,,16.295,,,3,3%,
,6,,,ΡΩΣΙΑ,,,3.114,,,11.422,,,14.536,,,2,9%,
,7,,,ΟΥΚΡΑΝΙΑ,,,2.356,,,11.283,,,13.639,,,2,7%,
,8,,,ΑΙΓΥΠΤΟΣ,,,9.457,,,2.840,,,12.297,,,2,5%,
,9,,,ΦΙΛΙΠΠΙΝΕΣ,,,3.115,,,7.400,,,10.515,,,2,1%,
,10,,,ΙΝΔΙΑ,,,8.375,,,2.103,,,10.478,,,2,1%,
,,,,ΆΛΛΕΣ ΙΘΑΓΕΝΕΙΕΣ,,,33.944,,,38.661,,,72.605,,,14,5%,
,,,,ΣΥΝΟΛΟ,,,270.056,,,231.037,,,501.093,,,100,0%,
