Αιτήματα Αδειών διαμονής (Αρχικές χορηγήσεις και ανανεώσεις για τα έτη 2021-2025) ανά αποκεντρωμένη
διοίκηση,,,,,,,,,,,,,,,,,
ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,ΑΤΤΙΚΗΣ,,,41.609,,,30.939,,,130,,,51.043,,,123.721,
,Υ.Μ.Α.,,,34.657,,,8.858,,,65,,,41.148,,,84.728,
,ΜΑΚΕΔΟΝΙΑΣ – ΘΡΑΚΗΣ,,,27.677,,,4.619,,,96,,,8.591,,,40.983,
,ΠΕΛΟΠΟΝΝΗΣΟΥ, ΔΥΤΙΚΗΣ,,22.137,,,4.782,,,55,,,12.363,,,39.337,,
,ΕΛΛΑΔΑΣ & ΙΟΝΙΟΥ,,,,,,,,,,,,,,,,
,ΚΡΗΤΗΣ,,,16.388,,,4.789,,,96,,,3.496,,,24.769,
,ΘΕΣΣΑΛΙΑΣ –,,12.508,,,1.947,,,82,,,7.337,,,21.874,,
,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,,,,,,,,,,,,,,,
,ΑΙΓΑΙΟΥ,,,13.612,,,4.263,,,26,,,3.692,,,21.593,
ΗΠΕΙΡΟΥ –
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,,7.147,,,967,,,136,,,1.268,,,9.518,,
,ΣΥΝΟΛΟ,,175.735,,,61.164,,,686,,,128.938,,,366.523,,
,ΑΡΧΙΚΩΝ ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,ΑΤΤΙΚΗΣ,,,188.990,,,4.209,,,105,,,97.768,,,291.072,
,ΜΑΚΕΔΟΝΙΑΣ – ΘΡΑΚΗΣ,,,85.641,,,3.273,,,44,,,20.924,,,109.882,
,ΠΕΛΟΠΟΝΝΗΣΟΥ, ΔΥΤΙΚΗΣ,,51.122,,,709,,,20,,,17.303,,,69.154,,
,ΕΛΛΑΔΑΣ & ΙΟΝΙΟΥ,,,,,,,,,,,,,,,,
,ΘΕΣΣΑΛΙΑΣ –,,44.498,,,799,,,26,,,13.221,,,58.544,,
,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,,,,,,,,,,,,,,,
,ΑΙΓΑΙΟΥ,,,33.840,,,582,,,24,,,7.214,,,41.660,
,ΚΡΗΤΗΣ,,,32.549,,,519,,,25,,,3.054,,,36.147,
,ΗΠΕΙΡΟΥ –,,16.479,,,442,,,82,,,1.970,,,18.973,,
,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,,,,,,,,,,,,,,,
,Υ.Μ.Α.,,,6.763,,,378,,,71,,,2.643,,,9.855,
ΣΥΝΟΛΟ ΑΝΑΝΕΩΣΕΩΝ,,,459.882,,,10.911,,,397,,,164.097,,,635.287,,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,6 3 5 . 617,,,72.075,,,1.083,,,293.035,,,1.001.810,,
,ΧΟΡΗΓΗΣΕΩΝ &,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
