,Εκδοθείσες Άδειες Διαμονής - Αρχικές Χορηγήσεις ανά μήνα και κατηγορία Eurostat,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,Απασχόληση,,,Λοιπά,,,Οικ. Επανένωση,,,Σπουδές,,,Σύνολο,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,1.515,,,617,,,1.223,,,54,,,3.409,
,Ιουν-24,,,1.414,,,796,,,1.441,,,46,,,3.697,
,Ιουλ-24,,,1.526,,,720,,,1.555,,,37,,,3.838,
,Αυγ-24,,,1.037,,,470,,,1.034,,,21,,,2.562,
,Σεπ-24,,,1.389,,,636,,,1.242,,,49,,,3.316,
,Οκτ-24,,,1.750,,,673,,,1.278,,,79,,,3.780,
,Νοε-24,,,928,,,630,,,1.016,,,85,,,2.659,
,Δεκ-24,,,815,,,438,,,953,,,114,,,2.320,
,Ιαν-25,,,268,,,246,,,645,,,48,,,1.207,
,Φεβ-25,,,155,,,198,,,461,,,31,,,845,
,Μαρ-25,,,96,,,132,,,270,,,39,,,537,
,Απρ-25,,,46,,,87,,,89,,,17,,,239,
,Μαϊ-25,,,7,,,3,,,8,,,,,,18,
,Γενικό Άθροισμα,,,10.946,,,5.646,,,11.215,,,620,,,28.427,
