,Αιτήματα Αδειών Μόνιμου Επενδυτή - Golden Visa (Αρχικές χορηγήσεις και ανανεώσεις) ανά έτος κατάθεσης,,,,,,,,,,,,,,,,
,αιτήματος (2021-2025),,,,,,,,,,,,,,,,
ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,,
ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ
ΑΙΤΗΜΑΤΟΣ,,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,2021,,,1.906,,,12,,,22,,,52,,,1.992,
,2022,,,4.182,,,35,,,11,,,123,,,4.351,
,2023,,,5.735,,,58,,,3,,,2.676,,,8.472,
,2024,,,3.156,,,36,,,1,,,6.216,,,9.409,
,2025,,,309,,,,,,,,,3.680,,,3.989,
,ΣΥΝΟΛΟ ΑΡΧΙΚΩΝ,,15.288,,,141,,,37,,,12.747,,,28.213,,
,ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,2021,,,435,,,16,,,4,,,1,,,456,
,2022,,,1.191,,,28,,,3,,,58,,,1.280,
,2023,,,1.778,,,18,,,1,,,94,,,1.891,
,2024,,,1.838,,,11,,,,,,2.174,,,4.023,
,2025,,,59,,,,,,,,,432,,,491,
,ΣΥΝΟΛΟ ΑΝΑΝΕΩΣΕΩΝ,,,5.301,,,73,,,8,,,2.759,,,8.141,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,20.589,,,214,,,45,,,15.506,,,36.354,,
,ΑΡΧΙΚΩΝ ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
,&,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
