II General Department
TABLE II.8. GENERAL AND NEW ARRANGEMENTS TO BORROW
(In millions of SDRs)
General Arrangements New Arrangements
Participant to Borrow to Borrow
Australia n.a. 810.0
Austria n.a. 412.0
Belgium 595.0 967.0
Canada 892.5 1,396.0
Denmark n.a. 371.0
Deutsche Bundesbank 2,380.0 3,557.0
Finland n.a. 340.0
France 1,700.0 2,577.0
Hong Kong Monetary Authority n.a. 340.0
Italy 1,105.0 1,772.0
Japan 2,125.0 3,557.0
Korea n.a. 340.0
Kuwait n.a. 345.0
Luxembourg n.a. 340.0
Malaysia n.a. 340.0
Netherlands 850.0 1,316.0
Norway n.a. 383.0
Saudi Arabia n.a. 1,780.0
Singapore n.a. 340.0
Spain n.a. 672.0
Sveriges Riksbank 382.5 859.0
Swiss National Bank 1,020.0 1,557.0
Thailand n.a. 340.0
United Kingdom 1,700.0 2,577.0
United States 4,250.0 6,712.0
Total 17,000.0 34,000.0
Associated agreement with
Saudi Arabia 1,500.0 n.a.
75,,
,II General Department
TABLE II.8. GENERAL AND NEW ARRANGEMENTS TO BORROW
(In millions of SDRs)
General Arrangements New Arrangements
Participant to Borrow to Borrow
Australia n.a. 810.0
Austria n.a. 412.0
Belgium 595.0 967.0
Canada 892.5 1,396.0
Denmark n.a. 371.0
Deutsche Bundesbank 2,380.0 3,557.0
Finland n.a. 340.0
France 1,700.0 2,577.0
Hong Kong Monetary Authority n.a. 340.0
Italy 1,105.0 1,772.0
Japan 2,125.0 3,557.0
Korea n.a. 340.0
Kuwait n.a. 345.0
Luxembourg n.a. 340.0
Malaysia n.a. 340.0
Netherlands 850.0 1,316.0
Norway n.a. 383.0
Saudi Arabia n.a. 1,780.0
Singapore n.a. 340.0
Spain n.a. 672.0
Sveriges Riksbank 382.5 859.0
Swiss National Bank 1,020.0 1,557.0
Thailand n.a. 340.0
United Kingdom 1,700.0 2,577.0
United States 4,250.0 6,712.0
Total 17,000.0 34,000.0
Associated agreement with
Saudi Arabia 1,500.0 n.a.
75,
,,
,,
