,Εκδόσεις αποφάσεων Αδειών διαμονής (Αρχικές χορηγήσεις και ανανεώσεις) ανά μήνα έκδοσης απόφασης,,,,,,,,,,
,(Μάιος 2024 – Μάιος 2025),,,,,,,,,,
,ΜΗΝΑΣ,,,Ε Κ Δ Ο Θ Ε ΙΣΕΣ - ΑΡΧΙΚΗ,,ΕΚΔΟΘΕΙΣΕΣ - ΑΝΑΝΕΩΣΗ,,,ΣΥΝΟΛΟ,,
,ΑΠΟΦΑΣΗΣ,,,ΧΟΡΗΓΗΣΗ,,,,,,,
,Μαϊ-24,,,3.795,,,9.315,,,13.110,
,Ιουν-24,,,4.131,,,9.513,,,13.644,
,Ιουλ-24,,,5.030,,,12.536,,,17.566,
,Αυγ-24,,,3.502,,,7.936,,,11.438,
,Σεπ-24,,,5.461,,,11.124,,,16.585,
,Οκτ-24,,,6.347,,,12.550,,,18.897,
,Νοε-24,,,5.825,,,10.252,,,16.077,
,Δεκ-24,,,6.081,,,11.524,,,17.605,
,Ιαν-25,,,5.262,,,9.057,,,14.319,
,Φεβ-25,,,5.880,,,10.285,,,16.165,
,Μαρ-25,,,5.540,,,9.539,,,15.079,
,Απρ-25,,,5.470,,,9.715,,,15.185,
,Μαϊ-25,,,4.838,,,8.466,,,13.304,
,ΣΥΝΟΛΟ ΑΠΟΦΑΣΕΩΝ,,,67.162,,,131.812,,,198.974,
