ΑΠΟΚ. ΔΙΟΙΚΗΣΗ,,,2021,,2022,,,2023,,2024,,2025,,Σύνολο,,
,Αττικής,,1.297,,,11.397,,,28.258,67.263,,,40.596,,148.811,
Κεντρική Υπηρεσία - Υ.Μ.Α.,,,197,,,383,,,16.051,20.439,,,6.721,,43.791,
,Πελοποννήσου, Δ. Ελλάδας &,,116,,413,,,3.076,,15.217,,10.844,,29.666,,
,Ιονίου,,,,,,,,,,,,,,,
,Μακεδονίας - Θράκης,,39,,,153,,,695,14.389,,,14.239,,29.515,
Θεσσαλίας - Στ. Ελλάδας,,,246,,,2.048,,,3.477,8.277,,,6.510,,20.558,
,Αιγαίου,,7,,,24,,,108,5.193,,,5.574,,10.906,
Κρήτης,,,1,,,30,,,83,1.889,,,4.547,,6.550,
Ηπείρου - Δ. Μακεδονίας,,,17,,,31,,,165,1.192,,,1.833,,3.238,
,Γενικό Άθροισμα,,1.920,,,14.479,,,51.913,133.859,,,90.864,,293.035,
