,ΚΑΤΗΓΟΡΙΑ,,,Υπηκοότητα,,,Είδος εγγράφου,,,Σύνολο,
ΟΜΟΓΕΝΗΣ,,,ΑΛΒΑΝΙΚΗ,,,ΕΔΤΟ,,,14.464,,
ΟΜΟΓΕΝΗΣ,,,τ. ΕΣΣΔ,,,ΕΔΤΟ,,,3.706,,
ΟΜΟΓΕΝΗΣ,,,ΤΟΥΡΚΙΚΗ,,,ΕΔΤΟ,,,2.559,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΒΟΥΛΓΑΡΙΚΗ,,,,Βεβαίωση εγγραφής,,,60.350,
,,,,,,,Πιστοποιητικό Μόνιμης,,19.805,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΡΟΥΜΑΝΙΚΗ,,,,Βεβαίωση εγγραφής,,,49.336,
,,,,,,,Πιστοποιητικό Μόνιμης,,14.396,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΠΟΛΩΝΙΚΗ,,,,Βεβαίωση εγγραφής,,,11.896,
,,,,,,,Πιστοποιητικό Μόνιμης,,4.596,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΚΥΠΡΙΑΚΗ,,,,Βεβαίωση εγγραφής,,,9.885,
,,,,,,,Πιστοποιητικό Μόνιμης,,3.377,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΓΕΡΜΑΝΙΚΗ,,,,Βεβαίωση εγγραφής,,,10.551,
,,,,,,,Πιστοποιητικό Μόνιμης,,2.690,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΙΤΑΛΙΚΗ,,,,Βεβαίωση εγγραφής,,,9.020,
,,,,,,,Πιστοποιητικό Μόνιμης,,1.623,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΓΑΛΛΙΚΗ,,,,Βεβαίωση εγγραφής,,,7.152,
,,,,,,,Πιστοποιητικό Μόνιμης,,938,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΟΛΛΑΝΔΙΚΗ,,,,Βεβαίωση εγγραφής,,,4.479,
,,,,,,,Πιστοποιητικό Μόνιμης,,1.051,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΣΟΥΗΔΙΚΗ,,,,Βεβαίωση εγγραφής,,,2.862,
,,,,,,,Πιστοποιητικό Μόνιμης,,327,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΤΣΕΧΙΚΗ,,,,Βεβαίωση εγγραφής,,,2.431,
,,,,,,,Πιστοποιητικό Μόνιμης,,338,,
,,,,,,,Διαμονής,,,,
ΕΥΡΩΠΑΙΟΣ
ΠΟΛΙΤΗΣ,,,ΛΟΙΠΟΙ,,,,Βεβαίωση εγγραφής,,,21.234,
,,,,,,,Πιστοποιητικό Μόνιμης,,3.252,,
,,,,,,,Διαμονής,,,,
,ΣΥΝΟΛΟ,,,,,,,,,262.318,
