,ΜΟΝΙΜΟΣ ΕΠΕΝΔΥΤΗΣ - ΜΑΙΟΣ 2025,,,,,,,,,,,,,,,,
,,,ΥΠΗΚΟΟΤΗΤΑ,,,,ΑΝΑΝΕΩΣΗ/,,,,,ΥΠΗΚΟΟΤΗΤΑ,,ΑΡΧ. ΧΟΡΗΓΗΣΗ,,,
,,,,,,,ΕΠΑΝΕΚΔΟΣΗ,,,,,,,,,,
,1,,,ΚΙΝΑ,,,3.302,,,60,4%,,ΚΙΝΑ,,,7.401,47,8%,
,2,,,ΤΟΥΡΚΙΑ,,,454,,,8,3%,,ΤΟΥΡΚΙΑ,,,1.962,12,7%,
,3,,,ΡΩΣΙΑ,,,435,,,8,0%,,ΛΙΒΑΝΟΣ,,,857,5,5%,
,4,,,ΙΡΑΝ,,,194,,,3,5%,,ΗΝ. ΒΑΣ. Μ. ΒΡΕΤΑΝΙΑΣ,,,652,4,2%,
5,,,ΑΙΓΥΠΤΟΣ,,,183,,,3,3%,,,ΙΡΑΝ,,641,,4,1%,
,6,,,ΛΙΒΑΝΟΣ,,,140,,,2,6%,,ΗΝ. ΠΟΛΙΤΕΙΕΣ ΑΜΕΡΙΚΗΣ - ΗΠΑ,,,478,3,1%,
,7,,,ΙΡΑΚ,,,99,,,1,8%,,ΙΣΡΑΗΛ,,,464,3,0%,
,8,,,ΣΥΡΙΑ,,,75,,,1,4%,,ΑΙΓΥΠΤΟΣ,,,461,3,0%,
,9,,,ΟΥΚΡΑΝΙΑ,,,73,,,1,3%,,ΡΩΣΙΑ,,,211,1,4%,
,10,,,ΙΟΡΔΑΝΙΑ,,,69,,,1,3%,,ΑΡΜΕΝΙΑ,,,179,1,2%,
,,,,ΆΛΛΕΣ,,441,,,8,1%,,,ΆΛΛΕΣ ΙΘΑΓΕΝΕΙΕΣ,,2.186,,14,1%,
,,,,ΙΘΑΓΕΝΕΙΕΣ,,,,,,,,,,,,,
,,,,ΣΥΝΟΛΟ,,,5.465,,,100%,,ΣΥΝΟΛΟ,,,15.492,100%,
