,ΜΟΝΙΜΟΣ ΕΠΕΝΔΥΤΗΣ (ΑΡΧΙΚΗ ΧΟΡΗΓΗΣΗ) ΑΝΑ ΦΥΛΟ - ΜΑΙΟΣ 2025,,,,,,,,,,,,,
,,ΥΠΗΚΟΟΤΗΤΑ,,,ΑΡΡΕΝ,,,ΘΗΛΥ,,ΣΥΝΟΛΟ
ΑΡΧΙΚΗ ΧΟΡΗΓΗΣΗ,,,,
,,,,,,,,,,,,,ΠΟΣΟΣΤΟ,
,,,,,,,,,,,,,,
,1,,ΚΙΝΑ,,,3.563,,,3.838,7.401,,,47,8%,
,2,,ΤΟΥΡΚΙΑ,,,1220,,,742,1962,,,12,7%,
,3,,ΛΙΒΑΝΟΣ,,,613,,,244,857,,,5,5%,
,4,,ΗΝ. ΒΑΣ. Μ. ΒΡΕΤΑΝΙΑΣ,,,457,,,195,652,,,4,2%,
,5,,ΙΡΑΝ,,,436,,,205,641,,,4,1%,
,6,,ΗΝ. ΠΟΛΙΤΕΙΕΣ ΑΜΕΡΙΚΗΣ - ΗΠΑ,,,294,,,184,478,,,3,1%,
,7,,ΙΣΡΑΗΛ,,,329,,,135,464,,,3,0%,
,8,,ΑΙΓΥΠΤΟΣ,,,305,,,156,461,,,3,0%,
,9,,ΡΩΣΙΑ,,,135,,,76,211,,,1,4%,
,10,,ΑΡΜΕΝΙΑ,,,140,,,39,179,,,1,2%,
,,,ΆΛΛΕΣ ΙΘΑΓΕΝΕΙΕΣ,,,1.474,,,712,2.186,,,14,1%,
,,,ΣΥΝΟΛΟ,,,8.966,,,6.526,15.492,,,100%,
