,Αιτήματα Αδειών Μόνιμου Επενδυτή-Golden Visa (Αρχικές χορηγήσεις και ανανεώσεις) ανά μήνα κατάθεσης,,,,,,,,,,,,,,,,
,αιτήματος (Μάιος 2024 – Μάιος 2025),,,,,,,,,,,,,,,,
,ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,258,,,6,,,,,,350,,,614,
,Ιουν-24,,,266,,,2,,,1,,,332,,,601,
,Ιουλ-24,,,291,,,1,,,,,,423,,,715,
,Αυγ-24,,,234,,,6,,,,,,309,,,549,
,Σεπ-24,,,295,,,2,,,,,,525,,,822,
,Οκτ-24,,,323,,,,,,,,,672,,,995,
,Νοε-24,,,252,,,1,,,,,,757,,,1.010,
,Δεκ-24,,,287,,,,,,,,,979,,,1.266,
,Ιαν-25,,,167,,,,,,,,,929,,,1.096,
,Φεβ-25,,,87,,,,,,,,,895,,,982,
,Μαρ-25,,,45,,,,,,,,,821,,,866,
,Απρ-25,,,10,,,,,,,,,567,,,577,
,Μαϊ-25,,,,,,,,,,,,468,,,468,
,ΣΥΝΟΛΟ ΑΡΧΙΚΩΝ,,2.515,,,18,,,1,,,8.027,,,10.561,,
,ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,241,,,1,,,,,,93,,,335,
,Ιουν-24,,,163,,,1,,,,,,186,,,350,
,Ιουλ-24,,,226,,,,,,,,,267,,,493,
,Αυγ-24,,,104,,,,,,,,,166,,,270,
,Σεπ-24,,,131,,,1,,,,,,316,,,448,
,Οκτ-24,,,115,,,1,,,,,,306,,,422,
,Νοε-24,,,83,,,,,,,,,287,,,370,
,Δεκ-24,,,67,,,,,,,,,302,,,369,
,Ιαν-25,,,38,,,,,,,,,196,,,234,
,Φεβ-25,,,15,,,,,,,,,98,,,113,
,Μαρ-25,,,5,,,,,,,,,43,,,48,
,Απρ-25,,,1,,,,,,,,,35,,,36,
,Μαϊ-25,,,,,,,,,,,,60,,,60,
,ΣΥΝΟΛΟ ΑΝΑΝΕΩΣΕΩΝ,,,1.189,,,4,,,0,,,2.355,,,3.548,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,3.704,,,22,,,1,,,10.382,,,14.109,,
,ΑΡΧΙΚΩΝ ΧΟΡΗΓΗΣΕΩΝ &,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
