Κατηγορία,,,2021,,,2022,,,2023,,,2024,,2025,,,ΣΥΝΟΛΟ,
ΑΔΕΙΑ ΔΙΑΜΟΝΗΣ ΜΟΝΙΜΟΥ
ΕΠΕΝΔΥΤΗ (Ν4251/14),,,53,,,181,,,2.770,,,8.390,,4.112,,,15.506,
,Χορήγηση,,,52,,,123,,,2.676,,,6.216,,3.680,,,12.747
,Ανανέωση/ επανέκδοση,,,1,,,58,,,94,,,2.174,,432,,,2.759
ΜΕΛΗ ΟΙΚΟΓΕΝΕΙΑΣ ΠΟΛΙΤΗ
ΤΡΙΤΗΣ ΧΩΡΑΣ (Ν4251/14),ΜΕΛΗ ΟΙΚΟΓΕΝΕΙΑΣ ΠΟΛΙΤΗ,,154,,,338,,,6.404,,,18.593,,10.246,,,35.735,
,Χορήγηση,,,130,,,189,,,6.145,,,14.918,,9.334,,,30.716
,Ανανέωση/επανέκδοση,,,24,,,149,,,259,,,3.675,,912,,,5.019
,ΓΕΝΙΚΟ ΣΥΝΟΛΟ,,207,,,519,,,9.174,,,26.983,,14.358,,,51.241,
,ΕΚΚΡΕΜΟΤΗΤΩΝ,,,,,,,,,,,,,,,,,
